epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,5052.46,0.93273,0.46991,1.07964,0.992,0.98197,0.99389,0.75781,0.90779,0.34794,1.10042,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5108.05,0.92615,0.45519,1.07853,0.98998,0.9438,0.95413,0.72643,0.90859,0.34755,1.1041,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5176.86,0.92915,0.4595,1.08006,0.99025,0.98303,0.99412,0.75783,0.90607,0.34838,1.10317,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5240.77,0.92052,0.45465,1.07623,0.99143,0.98188,0.99399,0.75589,0.90858,0.34896,1.10475,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5301.64,0.91005,0.448,1.06702,0.99157,0.98091,0.99416,0.75747,0.90744,0.34714,1.10182,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5356.23,0.91378,0.44897,1.0732,0.99036,0.98091,0.9944,0.76102,0.90229,0.34426,1.09881,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5418.56,0.91731,0.45224,1.07448,0.99463,0.98275,0.99434,0.75928,0.90236,0.34284,1.09646,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5482.06,0.90646,0.44207,1.06678,0.99365,0.98303,0.99434,0.76087,0.90039,0.34285,1.09426,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5544.21,0.90188,0.44385,1.07047,0.99099,0.98303,0.99423,0.76007,0.90285,0.34168,1.09598,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5605.92,0.89303,0.4369,1.06152,0.99315,0.98303,0.99432,0.76171,0.9015,0.34077,1.09577,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5675.61,0.90792,0.43539,1.06237,0.99478,0.98303,0.99423,0.75968,0.90275,0.34061,1.0978,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5737.11,0.89808,0.43897,1.06161,0.99249,0.98145,0.99359,0.76024,0.90292,0.33934,1.09776,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5792.19,0.83619,0.35525,1.04792,0.99061,0.98091,0.99372,0.76067,0.89808,0.33813,1.09761,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5861.78,0.83114,0.35266,1.04793,0.99427,0.98303,0.99423,0.76202,0.89562,0.33947,1.09698,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5922.54,0.82299,0.34702,1.04503,0.99063,0.98409,0.99453,0.76168,0.89408,0.33941,1.09658,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5977.12,0.81676,0.34398,1.03848,0.99147,0.98582,0.99451,0.76179,0.894,0.33787,1.09614,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6045.77,0.81445,0.34074,1.03922,0.99147,0.98658,0.99449,0.76419,0.89309,0.33752,1.09408,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6106.68,0.80254,0.33668,1.0331,0.99272,0.98515,0.99451,0.76367,0.89282,0.33686,1.09356,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6160.96,0.79962,0.33696,1.03071,0.99214,0.98515,0.9945,0.76249,0.89287,0.33705,1.09361,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6230.11,0.80132,0.33384,1.03478,0.99307,0.98515,0.99447,0.76427,0.89298,0.33567,1.09315,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6283.59,0.79554,0.33058,1.02996,0.99266,0.98409,0.99449,0.76283,0.8941,0.33489,1.0937,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6345.54,0.79197,0.33037,1.02402,0.99344,0.96288,0.97438,0.74749,0.89326,0.33486,1.09377,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
